cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
1,1,9260828,109,59,0.8621939999999999,11.811006557817585
1,1,9255512,159,59,1.0006959999999998,10.866801715724467
1,1,9254348,209,59,1.0532920000000001,10.215867637548838
1,1,9259676,259,59,1.0937379999999999,9.998262850083963
1,1,9250004,309,59,1.0952939999999998,9.861234243566741
1,1,9248812,359,59,1.1139659999999998,9.752829611003364
1,1,9248604,409,59,1.082828,9.628703990568107
1,1,9242780,459,59,1.095734,9.560986177188612
1,1,9234192,509,59,1.1393780000000002,9.526360224807128
1,1,9240908,559,59,1.099214,9.425463217677784
1,7,9233140,109,59,0.9532039999999999,10.737784292690328
1,7,9238528,159,59,1.108388,10.189414159953294
1,7,9243100,209,59,1.0962319999999999,10.08050416025783
1,7,9241676,259,59,1.099502,9.889818260270232
1,7,9231828,309,59,1.097604,9.752928956067317
1,7,9235172,359,59,1.1040079999999999,9.807920483172586
1,7,9233056,409,59,1.11008,9.695030834464815
1,7,9231004,459,59,1.111088,9.666106565981917
1,7,9231540,509,59,1.1003979999999998,9.60215027799074
1,7,9227088,518,59,1.1149599999999997,9.588655916635709
1,13,9219948,109,59,0.9417059999999998,10.77721518737029
1,13,9226152,159,59,1.0891879999999998,10.134321185320402
1,13,9218108,209,59,1.1036619999999997,10.07403694134886
1,13,9217092,259,59,1.084442,10.029818378964489
1,13,9216564,235,59,1.095228,10.007673969571561
1,13,9214764,359,59,1.113616,9.81831468491688
1,13,9205296,409,59,1.118222,9.2383656450254
1,13,9287332,459,59,1.086944,9.693958150823628
1,13,9285516,509,59,1.13489,9.648904972503464
1,13,9278428,559,59,1.124812,9.550142175819655
1,19,9283728,109,59,0.9389339999999998,10.84006527907201
1,19,9286232,159,59,1.087786,10.282237725336211
1,19,9285712,209,59,1.0898240000000001,10.141229971070809
1,19,9283876,259,59,1.095254,9.993567846486451
1,19,9274700,309,59,1.090208,9.891798450605032
1,19,9279740,359,59,1.125568,9.742597322169782
1,19,9273040,409,59,1.1208099999999999,9.704833078057469
1,19,9270272,459,59,1.0958519999999998,9.650244851310543
1,19,9272448,509,59,1.0946219999999998,9.63609814886579
1,19,9275096,559,59,1.10172,9.49904839586732
1,25,9268208,109,59,0.962902,10.758631581025329
1,25,9270896,159,59,1.0785799999999999,10.23239111674
1,25,9264316,209,59,1.0785859999999998,10.010781947446747
1,25,9259016,259,59,1.088072,9.948788706165791
1,25,9262928,309,59,1.1014779999999997,9.84490922611367
1,25,9267244,359,59,1.115758,9.791209948087495
1,25,9267412,409,59,1.091218,9.685991522270795
1,25,9255732,459,59,1.0856620000000001,9.715054694276331
1,25,9258264,509,59,1.0878079999999999,9.606907611936045
1,25,9254952,559,59,1.1127539999999998,9.501150506042494
1,31,9252808,109,59,0.9532299999999999,10.987903225806452
1,31,9256252,159,59,1.068856,10.298948017517281
1,31,9247500,209,59,1.0723779999999998,10.117728729653804
1,31,9249404,259,59,1.107404,9.949285533738834
1,31,9243720,309,59,1.0741319999999999,9.870712828380887
1,31,9248612,359,59,1.1053060000000001,9.764419109539375
1,31,9245824,409,59,1.100946,9.776388420453543
1,31,9246332,459,59,1.1233579999999999,9.65229246151753
1,31,9241332,509,59,1.1085859999999998,9.490346043374052
1,31,9238168,559,59,1.115964,9.511836876932145
1,37,9238368,109,59,0.9374979999999999,10.826466638590691
1,37,9241516,159,59,1.0787479999999998,10.250446120044973
1,37,9239268,209,59,1.106222,10.026390034248037
1,37,9235340,259,59,1.1062079999999999,9.78427745944247
1,37,9236916,309,59,1.117356,9.927452490393021
1,37,9227792,359,59,1.1155659999999998,9.831139902871623
1,37,9232100,409,59,1.096634,9.78493947093861
1,37,9232652,459,59,1.115176,9.741605505726218
1,37,9224980,509,59,1.1098179999999997,9.655723197543008
1,37,9217800,559,59,1.0968900000000001,9.586471516518058
1,43,9219256,109,59,0.9474660000000001,10.858120230271842
1,43,9220296,159,59,1.0763860000000003,10.256899861693123
1,43,9226308,209,59,1.0880659999999998,9.996790504101314
1,43,9217168,259,59,1.149312,9.9130711689616
1,43,9272628,309,59,1.0991059999999997,9.828278661280304
1,43,9285076,359,59,1.151038,9.673991863606956
1,43,9277784,409,59,1.098414,9.50339089816803
1,43,9270032,459,59,1.1078079999999997,9.497078975763827
1,43,9261580,509,59,1.104402,9.327178739163339
1,43,9255240,559,59,1.109624,9.362960263194656
1,49,9262020,109,59,0.936374,10.757357440341078
1,49,9269500,159,59,1.094334,10.11682708306424
1,49,9266672,209,59,1.100018,9.955874990413301
1,49,9264972,259,59,1.0945079999999998,9.824445876596615
1,49,9265156,309,59,1.192566,9.644516842478822
1,49,9256124,359,59,1.120114,9.601135661907374
1,49,9256524,409,59,1.144494,9.547256937692827
1,49,9259516,459,59,1.094722,9.545842504829071
1,49,9252800,489,59,1.133528,9.586338702793899
1,49,9250324,559,59,1.138854,9.452783599572648
1,55,9246768,109,59,0.9325640000000001,10.787657336497714
1,55,9251548,159,59,1.073572,10.263368360036381
1,55,9257936,209,59,1.091926,10.030980852345401
1,55,9245108,259,59,1.080548,9.82425209561918
1,55,9246360,309,59,1.1282399999999997,9.8542653023346
1,55,9249252,359,59,1.10824,9.785466592308024
1,55,9241896,409,59,1.14804,9.671655569880432
1,55,9239700,459,59,1.0927440000000002,9.561354629393355
1,55,9238348,509,59,1.0848499999999999,9.493124944631209
1,55,9238944,559,59,1.105002,9.536746157749041
1,61,9236824,109,59,0.9647899999999998,10.814350345265497
1,61,9234288,159,59,1.0907239999999998,10.240154156182316
1,61,9235524,209,59,1.090608,10.056683123057232
1,61,9228684,259,59,1.076182,10.089433675023626
1,61,9227528,309,59,1.1063900000000002,9.888895538379957
1,61,9223364,359,59,1.1004779999999998,9.842956857141134
1,61,9226176,409,59,1.116732,9.697295023722809
1,61,9220112,459,59,1.121408,9.550621414615572
1,61,9226512,509,59,1.1007259999999999,9.48532867502444
1,61,9220820,559,59,1.1151659999999999,9.486020592301017
1,67,9213048,109,59,0.952232,10.810671422039686
1,67,9219532,159,59,1.090176,10.15666820400722
1,67,9211736,209,59,1.10203,10.05278433266347
1,67,9219536,259,59,1.096714,9.874780915212996
1,67,9260440,309,59,1.1037199999999998,9.789295706110769
1,67,9263520,359,59,1.1210879999999999,9.661450918483727
1,67,9250600,409,59,1.1035120000000003,9.631111929533228
1,67,9268540,459,59,1.1018679999999998,9.324568103882596
1,67,9262032,509,59,1.093982,9.61422588104275
1,67,9259684,500,59,1.0959319999999997,9.538462418934992
1,73,9259044,109,59,0.9388259999999998,10.92717588642955
1,73,9259924,159,59,1.08758,10.209283898996151
1,73,9248740,209,59,1.089512,10.0302394923643
1,73,9255004,259,59,1.08021,9.907523406045884
1,73,9257516,309,59,1.201366,9.794965070964363
1,73,9253704,359,59,1.105126,9.90771200847813
1,73,9245392,409,59,1.1073939999999998,9.657941224461652
1,73,9243696,459,59,1.1368739999999997,9.601992193726783
