cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
1,1,9309688,396,17,0.661672,10.168616721468494
1,7,9319152,182,17,0.73771,10.03650641343789
1,13,9343208,415,17,0.753672,9.246921777726282
1,19,9314424,172,17,0.8749119999999999,9.624095153204964
1,25,9324632,446,17,0.8067799999999999,9.018833791992934
1,31,9313644,1304,17,0.957108,7.922141870129727
1,37,9215940,730,17,0.766606,8.567768407351615
1,43,9290336,319,17,0.7749360000000001,9.155645689714307
1,49,9282756,526,17,0.79218,8.746283453079265
1,55,9276812,338,17,0.821136,9.23010039509199
1,61,9271560,231,17,0.7848959999999999,9.606910987187042
1,67,9281504,592,17,0.768176,9.13599703203556
1,73,9278268,389,17,0.7730779999999998,9.41492190092356
1,79,9277932,412,17,0.7403059999999999,9.387262396312902
1,85,9272220,358,17,0.7439,9.509877388991441
1,91,9265556,320,17,0.754814,9.642199084292406
1,97,9269116,663,17,0.789316,9.071302489901505
7,1,9262356,470,17,1.020054,6.419914300973778
7,7,9267344,656,17,0.923252,6.354688282681334
7,13,9263696,318,17,0.9300940000000001,6.493472018648925
7,19,9258556,387,17,0.944546,6.608889827757303
7,25,9258432,396,17,0.87462,6.663629891226338
7,31,9253420,515,17,0.9099639999999998,6.374313817494856
7,37,9250268,331,17,0.894386,6.4510533634642355
7,43,9252968,500,17,0.895128,6.822020445049511
7,49,9243124,396,17,0.872592,6.081151118908772
7,55,9252688,317,17,0.8497080000000001,7.0422629078903105
7,61,9243524,458,17,0.9331599999999999,6.121681109868804
7,67,9243184,412,17,0.8986479999999999,6.822643559101564
7,73,9240692,327,17,0.9475079999999999,6.469892247604952
7,79,9236104,589,17,0.930226,6.512382538013684
7,85,9231424,436,17,0.91961,6.690141493423714
7,91,9222240,4095,17,0.993984,4.518499232395806
7,97,9248944,444,17,0.8621580000000001,6.2882918379246595
13,1,9242576,811,17,1.009426,4.429365062806868
13,7,9240356,469,17,1.194928,4.421691328045091
13,13,9236084,473,17,1.2105120000000003,4.883607021821566
13,19,9223380,414,17,1.025804,4.51214797752776
13,25,9225496,394,17,1.0764520000000002,4.841945503534682
13,31,9222256,460,17,1.32066,4.401763499562742
13,37,9242760,325,17,1.2982199999999997,5.010047843644577
13,43,9242712,348,17,1.159988,4.512593832451281
13,49,9241548,385,17,1.150182,4.9017304891074005
13,55,9232804,282,17,0.96781,5.124499906959434
13,61,9229840,413,17,1.030372,4.722182997740098
13,67,9291280,519,17,1.021472,4.755239834506659
