cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
49,1,7069912,26,40,5.468826000000001,4.730678816020262
49,1,7060504,49,78,8.416497999999999,5.692623869752767
49,1,7060504,68,115,10.473651999999998,5.885580846242662
49,1,7062368,84,145,12.506924,6.558703125768599
49,1,7061432,96,169,15.012658,6.1342636966606605
49,1,7059960,117,198,14.507472000000002,7.687905216670796
49,1,7058180,119,210,15.897732,7.235058540135424
49,1,7058196,127,218,16.171992,7.6451724949568955
49,1,7077008,165,286,19.699014000000002,8.227284467584997
49,1,7071968,270,470,28.5179,9.227709101597076
49,7,7078652,26,40,5.500121999999999,3.973420870851596
49,7,7075516,49,78,7.890644,5.587197336389188
49,7,7071824,68,115,11.293688000000001,5.565490683941514
49,7,7072168,84,145,12.523018,6.190138961250467
49,7,7070144,96,169,13.522622,6.694411282314481
49,7,7066348,117,198,14.685381999999999,7.654473156351446
49,7,7066200,119,210,15.239484000000003,7.437146735530063
49,7,7070096,127,218,17.115932,6.87896115770208
49,7,7069688,165,286,20.692001999999995,7.606084129744122
49,7,7069472,270,470,31.283026,8.325562808045822
49,13,7071996,26,40,6.7330000000000005,3.5296305698588557
49,13,7072124,49,78,9.387382,5.062396621211855
49,13,7069096,68,115,10.915528,5.631339397512935
49,13,7071964,84,145,13.398642,6.02944522643797
49,13,7070188,96,169,15.839356,5.870539918448416
49,13,7070568,117,198,15.518355999999999,7.3402415253147355
49,13,7070256,119,210,17.977482000000002,6.06810040411509
49,13,7067800,127,218,16.904700000000002,7.195316585431354
49,13,7067440,165,286,23.608031999999994,6.833990362831044
49,13,7062636,270,470,31.954264000000002,8.223458786765713
49,19,7183128,26,40,5.894135999999999,3.810109980290008
49,19,7181620,49,78,8.445322,5.707004707696536
49,19,7178216,68,115,12.993628,4.975990844176846
49,19,7155996,84,145,14.3887,5.2397922297623944
49,19,7152088,96,169,16.329425999999998,5.642866505649038
49,19,7149312,117,198,16.373991999999998,6.723681957200603
49,19,7145452,119,210,15.896598000000001,7.002195394203007
49,19,7146020,127,218,18.143267999999996,6.670048959209762
49,19,7146184,165,286,21.835338,7.257439865513042
49,19,7147192,270,470,31.541207999999997,8.344240079239377
49,25,7146040,26,40,5.218552,4.57467810101593
49,25,7147264,49,78,9.297164,4.8111902393714425
49,25,7146484,68,115,12.872362,4.90400411936346
49,25,7147704,84,145,14.587228,5.623878990192357
49,25,7141876,96,169,14.558760000000001,6.204869271160543
49,25,7145852,117,198,16.821627999999997,6.772048226244291
49,25,7143452,119,210,16.826952000000002,6.9490146705962665
49,25,7139084,127,218,18.102103999999997,6.74127721193514
49,25,7136960,165,286,22.934804,6.714804352983836
49,25,7133664,270,470,32.108006,8.307884028092955
49,31,7130136,26,40,5.408562,4.390786778327753
49,31,7128796,49,78,10.261942,4.485873161478617
49,31,7127720,68,115,10.298776000000002,6.419254743404452
49,31,7131736,84,145,13.065546,6.011172192889928
49,31,7128384,96,169,14.59864,6.305642367611068
49,31,7127392,117,198,16.426634000000004,6.724972755238582
49,31,7128300,119,210,18.769531999999998,6.158827359270795
49,31,7122964,127,218,16.628314,7.467056756686837
49,31,7123120,165,286,21.784095999999998,7.496820666508248
49,31,7120228,270,470,33.522838,7.982750163868122
49,37,7119884,26,40,5.232976000000001,4.508331743857398
49,37,7117284,49,78,9.549843999999998,4.768397010896273
49,37,7112724,68,115,11.988554,5.500069559703255
49,37,7110004,84,145,12.794608,6.349230344785883
49,37,7109460,96,169,14.761359999999998,6.337846848571674
49,37,7106488,117,198,16.807693999999998,6.557369698899034
49,37,7109432,119,210,15.972322,7.036186694275323
49,37,7108312,127,218,17.554545999999995,6.891376175264517
49,37,7106528,165,286,22.97087,6.689885298875694
49,37,7107988,270,470,32.82486599999999,8.031672155471755
49,43,7108892,26,40,4.9641,4.8480418572475426
49,43,7106316,49,78,10.578083999999999,4.188900610211685
49,43,7107396,68,115,11.989118000000001,5.236275375722009
49,43,7108300,84,145,12.88345,6.282478168388365
49,43,7111664,96,169,13.963868,6.74873408511419
49,43,7109616,117,198,16.04794,7.109873061420188
49,43,7108764,119,210,17.257154,6.680446725402202
49,43,7106460,127,218,17.155172000000004,7.013571537049054
49,43,7102800,165,286,22.06563,7.178476057389523
49,43,7165288,270,470,31.918908,8.40761094309729
49,49,7164040,26,40,5.592694,4.292369817376173
49,49,7156328,49,78,10.902708,4.329956850654486
49,49,7152664,68,115,12.405524000000002,5.079194350143226
49,49,7156232,84,145,13.44782,5.839635273065517
49,49,7154624,96,169,14.68945,6.411545055463204
49,49,7151332,117,198,16.566844,6.737822681238792
49,49,7150624,119,210,15.987380000000002,7.033487676029282
49,49,7153380,127,218,17.613144000000002,7.062197945067221
49,49,7152888,165,286,21.99898,7.201497911565605
49,49,7153552,270,470,33.691386,7.929124201801498
49,55,7147224,26,40,5.225320000000001,4.779640203392074
49,55,7145308,49,78,11.03656,3.8857001476566055
49,55,7145496,68,115,13.403903999999999,4.719980231612206
49,55,7125408,84,145,13.571212000000001,5.826293229014941
49,55,7116848,96,169,14.861072,6.087199127501458
49,55,7244080,117,198,16.699428,6.636373794604798
49,55,7244476,119,210,16.734586000000004,6.7216638094888435
49,55,7246972,127,218,17.996584,6.7343281049494665
49,55,7245396,165,286,22.263818,7.092183339386763
49,55,7241148,270,470,32.429058,8.029481878351564
49,61,7248600,26,40,6.025999999999999,3.867879197206796
49,61,7248968,49,78,8.224646,5.746486141000005
49,61,7253172,68,115,11.928390000000002,5.4072751706671225
49,61,7250172,84,145,14.784098000000002,5.4591396395928
49,61,7239756,96,169,14.85864,5.838950789201103
49,61,7239656,117,198,16.668732000000002,6.668209283743135
49,61,7240160,119,210,16.231936,6.987919121001986
49,61,7236116,127,218,17.353327999999998,7.044355031056176
49,61,7237872,165,286,23.021492,6.988534567833258
49,61,7235652,270,470,32.368804,8.136755351272768
49,67,7238216,26,40,5.816972,3.9586232517349433
49,67,7240068,49,78,10.007448,4.472774041845083
49,67,7232092,68,115,11.923772000000001,5.30272310427649
49,67,7233368,84,145,13.118856,6.336385107382869
49,67,7296416,96,169,15.052129999999998,6.117997044242678
49,67,7294484,117,198,16.496094000000003,6.7841110321242155
49,67,7289556,119,210,17.897509999999997,6.5846554288547345
49,67,7288392,127,218,18.295028,6.5363345573949365
49,67,7259572,165,286,22.611862,7.220045998256687
49,67,7259188,270,470,32.747548,8.066708693223068
49,73,7261092,26,40,5.004595999999999,4.874856801081469
49,73,7263388,49,78,9.616166000000002,4.865474592293088
49,73,7261844,68,115,12.371518,5.142239641979127
49,73,7256816,84,145,14.732714000000001,5.465419509986102
49,73,7253680,96,169,13.849796,6.627271221074722
49,73,7254912,117,198,15.787880000000001,7.3563484343867165
49,73,7253640,119,210,17.012786,6.776518395684896
49,73,7251828,127,218,17.616028,6.846261536894072
49,73,7251876,165,286,22.455212,7.206791680479684
49,73,7245076,270,470,32.525174,8.067648728598321
49,79,7252172,26,40,5.320014,4.5178105994787146
49,79,7245824,49,78,9.053548,4.888882680783897
49,79,7247148,68,115,12.169798,5.326957696122132
49,79,7240532,84,145,15.659482,5.215768260932467
49,79,7239824,96,169,15.167898000000001,5.9615369090548915
49,79,7235960,117,198,16.257164000000003,6.80852054340141
