cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
37,55,6156720,26,40,6.349235999999999,3.208363463156882
37,55,6257588,49,78,7.1080879999999995,6.703990105457869
37,55,6257980,68,115,10.478549999999998,6.404128779495487
37,55,6256740,84,145,14.597708000000003,5.456239014447341
37,55,6249504,96,169,12.749412,7.141098434834873
37,55,6250644,117,198,17.213009999999997,6.505251183316311
37,55,6242252,119,210,16.798102,6.948913225008146
37,55,6241200,127,218,21.994418,4.984678980786222
37,55,6236724,165,286,23.786596,6.564820440224922
37,55,6234716,270,470,27.807209999999998,9.450303827268048
37,61,6238432,26,40,9.345529999999998,2.376673498079465
37,61,6234768,49,78,12.574247999999999,3.3909283669842605
37,61,6232260,68,115,9.435766,6.889787713482098
37,61,6229200,84,145,16.078506,5.1818809364152365
37,61,6230992,96,169,16.972526000000002,5.251980160644943
37,61,6229112,117,198,19.501057999999997,5.745286409893286
37,61,6227004,119,210,15.440078000000002,7.77600403568075
37,61,6228316,127,218,15.92643,7.676786726775301
37,61,6228884,165,286,22.139115999999998,7.2748788732667595
37,61,6230732,270,470,34.264368000000005,6.987127382319308
37,67,6229780,26,40,7.9120599999999985,2.7875520789777832
37,67,6228896,49,78,7.559172,6.105203876430673
37,67,6224552,68,115,12.156016,5.366568174356643
37,67,6225620,84,145,11.832396000000001,6.931287833279423
37,67,6213900,96,169,12.343212,7.398028579509156
37,67,6214520,117,198,18.22222,5.990366262257211
37,67,6213908,119,210,15.290018000000002,7.604713388577209
37,67,6213764,127,218,20.041049999999995,4.7689285156390815
37,67,6211304,165,286,20.240647999999997,8.227899860973425
37,67,6210636,270,470,31.725834,8.00713405988684
37,73,6208288,26,40,6.532862000000001,3.4038497540718553
37,73,6210056,49,78,14.084297999999999,3.6063247576402566
37,73,6209496,68,115,10.184883999999998,6.287377534830222
37,73,6209412,84,145,17.161912,4.203469964455658
37,73,6208280,96,169,14.371938,6.522018265727405
37,73,6211040,117,198,15.827454000000001,7.0348477496604325
37,73,6209328,119,210,19.931409999999996,5.873613654424214
37,73,6209536,127,218,18.924564,6.501151778858459
37,73,6214112,165,286,23.999595999999997,6.329611649554338
37,73,6206012,270,470,28.251549999999998,9.257824233006406
37,79,6212192,26,40,4.894556000000001,4.9578676592571975
37,79,6210160,49,78,11.544722000000002,4.185129636525761
37,79,6214596,68,115,8.876100000000001,7.5282364220506475
37,79,6209464,84,145,12.150791999999997,6.612210391088629
37,79,6205188,96,169,17.392746,4.406689722222477
37,79,6201536,117,198,17.116922,7.166386340500129
37,79,6200552,119,210,14.83492,7.261893792057196
37,79,6197364,127,218,20.291292,5.900524589158553
37,79,6198780,165,286,21.582738,7.240325718119639
37,79,6199372,270,470,28.460746,9.245353182764196
37,85,6197264,26,40,5.51076,4.3897341002986705
37,85,6196028,49,78,8.697232,5.500266033275487
37,85,6196384,68,115,13.880564000000001,4.858652509887
37,85,6192340,84,145,12.277650000000001,6.379343079551927
37,85,6196428,96,169,14.354356,6.386583916053676
37,85,6193788,117,198,14.775462,7.488335477429389
37,85,6198424,119,210,15.315384,7.45374917319757
37,85,6194168,127,218,16.34285,7.6865997750913015
37,85,6195996,165,286,21.03643,7.707467508353259
37,85,6195460,270,470,29.088506,9.117635736269348
37,91,6194612,26,40,4.629734,5.218211558338602
37,91,6188436,49,78,14.708378,2.830720597478463
37,91,6185856,68,115,12.71314,5.1421735362576175
37,91,6188816,84,145,15.084024000000001,4.950509637286767
37,91,6190408,96,169,17.485260000000004,4.871039236221048
37,91,6185372,117,198,19.856046,4.647639416272378
37,91,6185348,119,210,21.917498,4.323865521241989
37,91,6184904,127,218,16.353037999999998,7.880479803323079
37,91,6185376,165,286,23.601368,6.800405221722061
37,91,6182828,270,470,36.173010000000005,6.032136542549127
37,97,6182480,26,40,9.221279999999998,2.3076670462483104
37,97,6180720,49,78,12.241932,2.944122360128652
37,97,6176916,68,115,12.892838,4.915411550060575
37,97,6177168,84,145,13.368559999999999,5.720839383347999
37,97,6175408,96,169,14.838745999999999,6.0628796404712375
37,97,6233404,117,198,17.566394,6.479592882194909
