cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,1,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,7,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,13,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,19,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,25,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,31,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,37,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,43,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,49,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,55,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
1,61,-1,-1,59,-1,-1
