cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
1,1,9344756,805,17,1.09662,10.589485758785985
1,7,9356668,337,17,0.7305340000000001,9.52311786313669
1,13,9312236,4095,17,0.79773,5.971999503747988
1,19,9300832,58,17,0.8455840000000001,8.442159562637913
1,25,9306080,267,17,0.89577,7.569327384465699
1,31,9300764,238,17,0.88655,7.4586522716767085
1,37,9297256,281,17,0.8940319999999999,7.4277296443862095
1,43,9298912,317,17,0.8966500000000001,7.3669721210070485
1,49,9301768,322,17,0.8560979999999999,7.499682660943306
1,55,9300208,704,17,0.881868,7.023953777595084
1,61,9291328,187,17,0.8933479999999999,7.583065999843472
1,67,9286472,244,17,0.8594400000000001,7.294916429855941
1,73,9290816,245,17,0.858388,7.413820390063785
1,79,9286424,810,17,0.857282,6.929739541889464
1,85,9275256,312,17,0.875252,7.316812346276587
1,91,9341180,313,17,0.85317,7.344073356264987
1,97,9330716,306,17,0.857248,7.343639867900879
7,1,9330740,855,17,1.0805,4.540238219661611
7,7,9320356,280,17,1.086846,4.808712012248476
7,13,9319792,-1,17,-1,-1
7,19,9320228,615,17,1.171368,4.8959608323133414
7,25,9308052,328,17,1.0137580000000002,4.997790610858004
7,31,9318476,210,17,1.120776,5.075462459221076
7,37,9312416,270,17,1.197076,5.000443557863743
7,43,9310268,406,17,1.011346,5.067804983874145
7,49,9299808,452,17,1.0807060000000002,5.013794590603705
7,55,9289960,431,17,1.052022,5.013491060166081
7,61,9297692,615,17,1.04778,4.89906102127021
7,67,9286948,1358,17,1.0765120000000001,4.432473791366723
7,73,9239468,438,17,1.0804880000000001,4.765981079925611
7,79,9269532,327,17,1.048578,4.97062316109744
7,85,9254844,324,17,1.05882,5.011418765133827
7,91,9256872,4095,17,1.134362,3.693081597379811
7,97,9273884,4095,17,1.098346,3.743249159832525
13,1,9292108,325,17,1.304168,3.936051396838031
13,7,9293132,675,17,1.308876,3.923707546719586
13,13,9284204,336,17,1.166856,4.150356547743306
13,19,9282916,4095,17,1.497768,2.9082931851567304
13,25,9314628,262,17,1.1982000000000002,4.366681950053492
13,31,9308956,249,17,1.26246,4.180788721743157
13,37,9312500,170,17,1.17575,4.859057325729195
13,43,9307676,317,17,1.262612,4.268023817457832
13,49,9305876,579,17,1.217442,3.9526630709038124
13,55,9295672,346,17,1.1510619999999998,4.152517403668497
13,61,9294996,489,17,1.239496,4.166269067709966
13,67,9284816,371,17,1.455468,4.153827309611956
13,73,9282028,261,17,1.1119780000000001,4.14673862184969
13,79,9277444,535,17,1.258294,3.8115574543840283
13,85,9334392,168,17,1.6913280000000002,3.799834661956078
13,91,9332820,168,17,1.505416,3.986734615179255
13,97,9327884,497,17,1.4009719999999999,3.9586175519845335
19,1,9321688,262,17,1.5839660000000002,3.070458346771472
19,7,9327664,487,17,1.4498100000000003,3.239489900740566
19,13,9305128,459,17,1.548742,3.0852612967615376
19,19,9297664,370,17,2.030192,3.7332347490297626
19,25,9301940,263,17,1.348964,3.3997534855552485
19,31,9293228,454,17,1.425576,3.3519160408526205
19,37,9290908,576,17,2.057736,3.2798536866381096
19,43,9274104,341,17,1.53243,3.341292992201363
19,49,9266020,297,17,1.4484719999999998,3.493036860359677
19,55,9327312,301,17,1.56639,3.3328620083294975
19,61,9330632,372,17,1.320904,3.0555918110468023
19,67,9291164,594,17,1.3970879999999999,3.3272470106169987
19,73,9303268,304,17,1.19798,3.5258117253652466
19,79,9298500,219,17,1.5538200000000002,3.1761515398461264
