cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
1,1,7206812,26,40,2.570552,10.446339964080662
1,1,7208660,49,78,3.627516,13.650622078349
1,1,7208996,68,115,5.5238640000000006,12.139822187310315
1,1,7208232,84,145,6.643704,12.67371667302867
1,1,7203340,96,169,7.268287999999998,13.107734655758119
1,1,7201632,117,198,8.820941999999999,13.228919095548978
1,1,7199896,119,210,8.903170000000001,13.430408476280656
1,1,7209468,127,218,10.81064,11.461121529400936
1,1,7204904,165,286,12.451616,13.271250690708277
1,1,7203708,199,341,15.103012,13.199078584926122
1,7,7204044,26,40,2.674192,9.733270940570893
1,7,7205540,49,78,4.179912,11.487462255481159
1,7,7201816,68,115,5.8042120000000015,11.513773351371578
1,7,7198368,84,145,6.911613999999999,12.103380157084583
1,7,7200760,96,169,7.555042,12.66798272931688
1,7,7201536,117,198,9.051784,12.943709246676121
1,7,7200016,119,210,9.345195999999998,12.573127528492925
1,7,7198492,127,218,10.732121999999999,11.778661331953284
1,7,7198560,165,286,12.862452000000001,12.76559201013201
1,7,7201124,199,341,15.53614,12.779954865566435
1,13,7204252,26,40,2.678578,9.405193837427607
1,13,7205144,49,78,4.28736,11.294121985737137
1,13,7200504,68,115,5.845756000000001,11.500065110662758
1,13,7189184,84,145,7.044724000000001,12.049765531645697
1,13,7195272,96,169,7.653884,12.391525745330913
1,13,7195360,117,198,9.268992,12.668521107163777
1,13,7194728,119,210,9.454324,12.471546010572517
1,13,7189072,127,218,10.112939999999998,12.42228734413453
1,13,7194900,165,286,12.883493999999999,12.804266226303378
1,13,7195656,199,341,15.636228000000003,12.730606296724202
1,19,7195164,26,40,2.878966,8.99588611208182
1,19,7195692,49,78,4.380838000000001,10.947176522104359
1,19,7194012,68,115,5.803540000000001,11.675142591263558
1,19,7199264,84,145,7.1757219999999995,11.65268344653083
1,19,7200036,96,169,7.735472,12.40832702145865
1,19,7194348,117,198,9.242494000000002,12.634525298207194
1,19,7195052,119,210,9.456128000000001,12.468971645139353
1,19,7198152,127,218,10.211872,12.407602440878264
1,19,7196152,165,286,12.829651999999998,12.907162301699053
1,19,7195616,199,341,15.619862000000001,12.698469419660805
1,25,7233860,26,40,3.065222,8.588738182226598
1,25,7228412,49,78,4.300242,11.402933113652335
1,25,7225432,68,115,6.0516939999999995,11.170247716669952
1,25,7224424,84,145,7.121940000000001,11.7700634042106
1,25,7220488,96,169,7.902252000000001,12.058529085548983
1,25,7225664,117,198,9.44707,12.300885979197835
1,25,7222300,119,210,9.504272,12.409457883968441
1,25,7218872,127,218,10.206620000000003,12.459384369064624
1,25,7218328,165,286,13.150412000000001,12.459252580764273
1,25,7219424,199,341,15.713082000000002,12.60510855278785
1,31,7220140,26,40,2.7037139999999997,9.484551125378468
1,31,7217096,49,78,4.286911999999999,11.4689904245633
1,31,7223192,68,115,6.0090259999999995,11.403311655861469
1,31,7220520,84,145,7.037084,11.751801942964587
1,31,7218820,96,169,7.668794000000001,12.50073246479286
1,31,7220796,117,198,9.268977999999999,12.610884163100767
1,31,7223892,119,210,9.499122,12.398028817603118
1,31,7218372,127,218,10.258216000000001,12.26330375334344
1,31,7218648,165,286,12.879578000000002,12.795319859732274
1,31,7216484,199,341,15.758944000000001,12.597264810965065
1,37,7218052,26,40,2.808274,8.903560739406476
1,37,7217884,49,78,4.268206,11.325944502871934
1,37,7218096,68,115,5.991858000000001,11.206974693662293
1,37,7210856,84,145,7.006292,12.07706895287499
1,37,7207840,96,169,7.687316,12.517325412647976
1,37,7209820,117,198,9.212357999999998,12.718856737841534
1,37,7205132,119,210,9.266689999999999,12.895786870571815
1,37,7200476,127,218,10.249822,12.324568979739183
1,37,7202540,165,286,12.916469999999999,12.774219920970161
1,37,7202496,199,341,15.632369999999998,12.670672042257646
1,43,7202332,26,40,2.7052340000000004,9.669597298463277
1,43,7202172,49,78,4.442078,10.982902534584936
1,43,7200920,68,115,5.984172,11.422965536241039
1,43,7201864,84,145,7.053400000000002,11.874167748064087
1,43,7203356,96,169,7.653678,12.494842623552517
1,43,7203364,117,198,9.272534000000002,12.629056544711718
1,43,7202964,119,210,9.492148,12.430080795525171
1,43,7197404,127,218,10.027458,12.566244889397254
1,43,7200576,165,286,12.874600000000003,12.817077007329038
1,43,7195468,199,341,15.689276,12.6114433321588
1,49,7198076,26,40,3.0202180000000007,8.589674550446167
1,49,7198288,49,78,4.3355739999999985,11.05822720820385
1,49,7200108,68,115,5.949501999999999,11.46425512688233
1,49,7200804,84,145,6.965604,11.987293468922942
1,49,7196556,96,169,7.773362,12.273797743155441
1,49,7194724,117,198,9.24446,12.727421065513584
1,49,7195464,119,210,9.46039,12.471258465259684
1,49,7195160,127,218,10.132332000000002,12.510330873624971
1,49,7195696,165,286,12.939978,12.778909378170525
1,49,7193152,199,341,15.568908,12.756671931731931
1,55,7193748,26,40,2.8019119999999997,9.131746516765535
1,55,7194940,49,78,4.298030000000001,11.236702280133281
1,55,7196776,68,115,5.882316,11.526185629219558
1,55,7191472,84,145,6.9350960000000015,12.10463593145894
1,55,7191596,96,169,7.78331,12.35554628889584
1,55,7192024,117,198,9.246459999999999,12.4794941645032
1,55,7193500,119,210,9.528000000000002,12.562654921815946
1,55,7196312,127,218,10.227236000000001,12.298503068815451
1,55,7193256,165,286,13.045603999999999,12.643687849569234
1,55,7191916,199,341,15.998796000000002,12.39888522183724
1,61,7194092,26,40,2.928982,8.743463420375631
1,61,7198752,49,78,4.530856,10.734056093110269
1,61,7193884,68,115,5.955408000000001,11.239335028048751
1,61,7189564,84,145,7.034586,11.762547767846515
1,61,7193064,96,169,7.580863999999999,12.833932918636876
1,61,7196116,117,198,9.259587999999999,12.520037410299818
1,61,7194984,119,210,9.450949999999999,12.597778344736616
1,61,7194580,127,218,10.24822,12.441490706108477
1,61,7191948,165,286,13.0622,12.539461304742348
1,61,7193760,199,341,15.698314000000002,12.696533080848843
1,67,7195280,26,40,2.7104120000000003,9.615029029991495
1,67,7193396,49,78,4.2118980000000015,11.496032695655439
1,67,7190156,68,115,5.979300000000001,11.52249428111497
1,67,7191620,84,145,7.051798000000001,11.995184790105686
1,67,7191932,96,169,7.670516,12.680348234063377
1,67,7194924,117,198,9.097258000000002,12.908094368099134
1,67,7192788,119,210,9.319550000000001,12.78858956902453
1,67,7194456,127,218,10.111104,12.601481616720479
1,67,7191932,165,286,13.100464,12.478861564803863
1,67,7191080,199,341,15.78993,12.63938253758152
1,73,7189376,26,40,2.71301,9.525693726964308
1,73,7193396,49,78,4.30362,11.411430993446581
1,73,7192544,68,115,5.812296,11.804059554952238
1,73,7193776,84,145,6.972173999999999,11.889764894053702
1,73,7196180,96,169,7.837364,12.237920471363903
1,73,7193664,117,198,9.894636000000002,11.77317025312316
1,73,7187720,119,210,9.461478,12.486909731185165
1,73,7187920,127,218,10.348972000000002,12.297895704161046
1,73,7186560,165,286,13.016241999999998,12.57920131982505
1,73,7188188,199,341,15.518936,12.85379422690241
1,79,7193260,26,40,2.7015919999999998,9.591441482984415
1,79,7192768,49,78,4.303148000000001,11.435479391632496
1,79,7188084,68,115,5.999972,11.34242617831962
1,79,7189584,84,145,7.137964,11.69252012783822
1,79,7189396,96,169,7.914287999999998,12.047860124343956
1,79,7193596,117,198,9.419924000000002,12.3731618716258
1,79,7193456,119,210,9.28375,12.856553276908551
1,79,7193492,127,218,10.196232,12.449662192630585
1,79,7191880,165,286,12.883662000000001,12.718115683980262
1,79,7192220,199,341,15.840110000000001,12.517691460921528
1,85,7194280,26,40,2.7605700000000004,9.088303353583937
1,85,7191632,49,78,4.320906,11.41789253665959
1,85,7191052,68,115,6.1152359999999994,11.039642055841107
1,85,7191480,84,145,7.130976,11.816356932755083
1,85,7191996,96,169,7.702988,12.440244709980316
1,85,7191508,117,198,9.354147999999999,12.474850381762407
1,85,7189756,119,210,9.66433,12.261986091404347
1,85,7192404,127,218,10.234426,12.413945454883129
1,85,7195208,165,286,13.096569999999998,12.590345265419739
1,85,7190584,199,341,15.782630000000001,12.524971268093548
1,91,7190176,26,40,2.924868,8.813021578344372
1,91,7190836,49,78,4.372820000000001,11.27556561918963
1,91,7190876,68,115,5.965004,11.375251133761243
1,91,7190492,84,145,7.05388,11.918595989392449
1,91,7193340,96,169,7.847655999999999,12.233242051259833
1,91,7191676,117,198,9.783515999999999,11.862456339570418
1,91,7189340,119,210,9.501136000000002,12.541008571094345
1,91,7191564,127,218,10.244902,12.281376984119309
1,91,7193168,165,286,13.037017999999998,12.532422897116403
1,91,7185572,199,341,15.682964000000004,12.624107986239089
1,97,7187916,26,40,2.944446,8.866185391936547
1,97,7193096,49,78,4.433232,11.206685588431041
1,97,7187032,68,115,6.067922,11.32640534872836
1,97,7185192,84,145,6.992956,11.85531435636228
1,97,7183916,96,169,7.793774,12.294074256208507
1,97,7185968,117,198,9.313576000000001,12.552570594798732
1,97,7184800,119,210,9.720816000000001,12.314327875706002
1,97,7183220,127,218,10.199264,12.43028761923778
1,97,7186256,165,286,13.029630000000001,12.66116123566795
1,97,7187440,199,341,15.777856,12.513582582099165
7,1,7193260,26,40,3.043304,8.19416386436768
7,1,7187036,49,78,4.699395999999999,10.410558430852646
7,1,7184744,68,115,6.2456499999999995,10.591702335781886
7,1,7184272,84,145,7.408066000000001,11.413648277558186
7,1,7187360,96,169,8.005304,12.01111027700623
7,1,7182444,117,198,9.834906,11.867714541906219
7,1,7186268,119,210,10.133938,11.757731449461515
7,1,7186372,127,218,10.751553999999999,11.680405705556288
7,1,7175476,165,286,13.949314,11.684559385887885
7,1,7179360,199,341,16.185722000000002,12.26927293151773
7,7,7180964,26,40,3.0025699999999995,8.380473496752566
7,7,7183600,49,78,4.598072,10.491471932100906
7,7,7184612,68,115,6.394094000000001,10.705053729924089
7,7,7183012,84,145,7.346279999999999,11.320235999967656
7,7,7180820,96,169,8.199868,11.540347941490436
7,7,7183288,117,198,10.014978,11.645475881920847
7,7,7180652,119,210,10.175136,11.713174860967568
7,7,7180172,127,218,10.844441999999999,11.593853614361043
7,7,7179400,165,286,13.768342,11.962112726600477
7,7,7181204,199,341,16.59064,11.914747883336055
7,13,7183364,26,40,3.0302079999999996,8.422880430733146
7,13,7184572,49,78,4.829821999999998,9.90203052250388
7,13,7185228,68,115,6.442506,10.54091969524341
7,13,7182712,84,145,7.472860000000001,11.274607838268436
7,13,7180892,96,169,8.285072,11.301935927441571
7,13,7180112,117,198,10.027002,11.55268022181146
7,13,7178796,119,210,10.174554,11.68030514061026
7,13,7181052,127,218,10.8952,11.58116665207622
7,13,7185208,165,286,13.944401999999998,11.770286802655091
7,13,7180948,199,341,16.457664,12.06129318882409
7,19,7183212,26,40,2.8936940000000004,8.61766090167249
7,19,7182520,49,78,4.514266000000001,10.759322733570626
7,19,7182172,68,115,6.405405999999999,10.558842254002267
7,19,7179464,84,145,7.39951,11.187037952026254
7,19,7184252,96,169,8.3081,11.487980700192423
7,19,7183224,117,198,9.829680000000002,11.880934755389832
7,19,7180980,119,210,10.343152000000002,11.524218289999691
7,19,7181564,127,218,10.85675,11.576563929979107
7,19,7186068,165,286,13.979509999999998,11.75314966603247
7,19,7179984,199,341,16.523782,11.933546338140333
7,25,7185952,26,40,2.992558,8.433672410213825
7,25,7181112,49,78,4.5384,10.739208191605007
7,25,7182156,68,115,6.259578,10.72754866047624
7,25,7179644,84,145,7.57819,11.00975149418056
7,25,7182892,96,169,7.560938,12.571204085641329
7,25,7179676,117,198,9.881086000000002,11.841014643388108
7,25,7182024,119,210,10.225524,11.565682384979775
7,25,7185328,127,218,10.859876,11.586734921962886
7,25,7186260,165,286,13.915938000000002,11.793919483983856
7,25,7179504,199,341,16.257624,12.177823143738701
7,31,7213560,26,40,2.9757700000000002,8.59597906548483
7,31,7209448,49,78,4.886902000000001,9.837283303721103
7,31,7215388,68,115,6.299140000000001,10.748150290753271
7,31,7205904,84,145,7.3451319999999996,11.426581493290964
7,31,7209904,96,169,8.093394,11.837077425583626
7,31,7215080,117,198,9.894701999999999,11.59172172734487
7,31,7210968,119,210,10.220578000000001,11.534640269464704
7,31,7208096,127,218,10.764552,11.759291923959047
7,31,7203892,165,286,13.771112,11.806628885454233
7,31,7204264,199,341,16.295206,12.193926321723572
7,37,7205924,26,40,3.012714000000001,8.271588049464096
7,37,7204836,49,78,4.624446,10.55979863110529
7,37,7206524,68,115,5.768796,11.815319604395299
7,37,7205152,84,145,7.404949999999999,11.23370110330993
7,37,7205696,96,169,8.364758000000002,11.259887588788905
7,37,7211776,117,198,10.001408,11.547617637653525
7,37,7211480,119,210,10.059280000000001,11.764938505951676
7,37,7211076,127,218,10.745833999999999,11.747587813218905
7,37,7203744,165,286,13.716734,11.992664850080788
7,37,7206620,199,341,16.438414,12.02757033408843
7,43,7210288,26,40,2.9833839999999996,8.504263579837046
7,43,7208832,49,78,4.220742,11.302562683089981
7,43,7208704,68,115,6.4698980000000015,10.442228371534485
